Name,Min $,Max $
Athlon 3000G Picasso,49.99,49.99
Ryzen 3 3200G,99.99,139.99
Ryzen 5 3400G,169.99,179.99
Ryzen 5 3600,179.99,249.99
Ryzen 5 3600X,229.99,259.99
Ryzen 5 5600X,279.99,299.99
Ryzen 7 3700X,279.99,299.99
Ryzen 7 3800X,319.99,349.99
Ryzen 7 3800XT,349.99,369.99
Ryzen 7 5800X,429.99,449.99
Ryzen 9 3900X,449.99,549.99
Ryzen 9 3900XT,499.99,569.99
Ryzen 9 3950X,649.99,679.99
Ryzen 9 5900X,549.99,549.99
Ryzen 9 5950X,799.99,799.99
Ryzen Threadripper 3960X,1399.99,1599.99
Ryzen Threadripper 3970X,1899.99,2199.99
Ryzen Threadripper 3990X,3799.99,4999.99
Ryzen Threadripper PRO,2749.99,5489.99
Core i3-10100,99.99,99.99
Core i3-10100F,69.99,99.99
Core i3-9100F,99.99,99.99
Core i5-10400,149.99,149.99
Core i5-10400F,129.99,139.99
Core i5-10600K,189.99,249.99
Core i5-11400,189.99,189.99
Core i5-11600K,269.99,269.99
Core i5-9400,139.99,149.99
Core i5-9600K,149.99,169.99
Core i7-10700,229.99,299.99
Core i7-10700F,219.99,229.99
Core i7-10700K,249.99,349.99
Core i7-11700K,399.99,399.99
Core i7-9700,289.99,289.99
Core i7-9700F,189.99,229.99
Core i7-9700K,219.99,254.99
Core i9-10850K,319.99,399.99
Core i9-10900,319.99,429.99
Core i9-10900K,399.99,499.99
Core i9-10900KF,329.99,569.99
Core i9-10900X,499.99,499.99
Core i9-10920X,579.99,599.99
Core i9-10940X,669.99,699.99
Core i9-10980XE,899.99,949.99
Core i9-11900K,613.99,613.99
Core i9-9900,289.99,329.99
Core i9-9900K,249.99,369.99
Pentium Gold,49.99,49.99
